coordinate_id,source,longitude,latitude,year,presence_type,georef_method,source_detail,location_name,state,locality,case_count,reference,notes
111,gerstl_et_al_2006_fig1,36.16317,13.63419,2005,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
112,gerstl_et_al_2006_fig1,36.17761,13.80385,2006,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
113,gerstl_et_al_2006_fig1,35.20442,13.77775,2007,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
114,gerstl_et_al_2006_fig1,34.64565,13.49933,2008,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
115,gerstl_et_al_2006_fig1,34.80648,13.22962,2009,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
116,gerstl_et_al_2006_fig1,35.34668,13.3536,2010,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
117,gerstl_et_al_2006_fig1,35.31575,12.85333,2011,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
118,hassan_et_al_2020_fig1,36.02643,13.67571,2013,vector_pos,digitized_map,,,,,,10.3923/pjbs.2020.45.54,
119,hassan_et_al_2020_fig2,34.95673,13.0371,2013,vector_pos,digitized_map,,,,,,10.3923/pjbs.2020.45.54,
120,hassan_et_al_2020_fig3,32.08722,14.63362,2013,vector_pos,digitized_map,,,,,,10.3923/pjbs.2020.45.54,
121,hassan_et_al_2020_fig4,32.54,15.89459,2013,vector_pos,digitized_map,,,,,,10.3923/pjbs.2020.45.54,
122,vandebogaart_et_al_2013_fig1,35.39089,14.08516,2010,facility_report,digitized_map,,,,,,10.1186/1471-2458-13-332,
123,vandebogaart_et_al_2013_fig2,35.43786,13.84901,2010,facility_report,digitized_map,,,,,,10.1186/1471-2458-13-332,
124,vandebogaart_et_al_2013_fig3,36.19726,13.51343,2010,facility_report,digitized_map,,,,,,10.1186/1471-2458-13-332,
125,vandebogaart_et_al_2013_fig4,34.3105,13.06599,2010,facility_report,digitized_map,,,,,,10.1186/1471-2458-13-332,
126,vandebogaart_et_al_2013_fig5,33.87209,12.99142,2010,facility_report,digitized_map,,,,,,10.1186/1471-2458-13-332,
